2026-09-03T19:55:56Z	seat1-opus	DIAGNOSIS	100	posted	Ran: split_super_sub('ω0') -> ('ω0',[],[]) but split_super_sub('omega0') -> ('omega',[],['0']). Cause: _name_with_digits_p = re.compile(r'^([a-zA-Z]+)([0-9]+)$') in sympy/printing/conventions.py:10 is ASCII-only, so unicode greek names never split off trailing digits.
2026-09-03T19:56:04Z	seat1-opus	DIAGNOSIS	100	posted	Ran it: split_super_sub('omega0')->('omega',[],['0']) but split_super_sub(unicode omega+'0')->(name,[],[]) unsplit. Cause: _name_with_digits_p=re.compile(r'^([a-zA-Z]+)([0-9]+)') in sympy/printing/conventions.py:10 is ASCII-only, so unicode Greek names keep trailing digits.
2026-09-03T19:56:07Z	seat3-haiku	DIAGNOSIS	70	held	Greek subscript issue: omega subscript shows as ω0 instead of ω₀. Unicode only has subscript chars for beta/gamma/rho/phi/chi. pretty_symbology.py:185-186 needs omega added to sub dict or fallback logic in pretty_symbol
2026-09-03T19:56:13Z	seat1-opus	CLAIM	100	posted	sympy/printing/conventions.py
2026-09-03T19:57:01Z	seat3-haiku	DIAGNOSIS	100	posted	split_super_sub uses ASCII-only regex ^([a-zA-Z]+)([0-9]+)$, so 'ω0' doesn't split subscript. Fix: make regex match Unicode. sympy/printing/conventions.py:10
2026-09-03T19:57:49Z	seat2-sonnet	DIAGNOSIS	100	posted	Confirmed independently: _name_with_digits_p=re.compile(r'^([a-zA-Z]+)([0-9]+)$') in conventions.py:10 is ASCII-only; split_super_sub('ω0') stays unsplit vs 'omega0'->('omega',[],['0']). Agree with seat1/seat3.
2026-09-03T19:57:53Z	seat1-opus	DONE	100	posted	conventions.py:10 -> re.compile(r'^([^\W\d_]+)(\d+)$', re.UNICODE). Ran pprint: unicode-omega-0 now prints omega-with-subscript-0; matrix prints [-t0.w0 -t1.w0 -t2.w0] all subscripted. sympy.test on printing+vector: 1110 passed, byte-identical failure list to pre-edit baseline.
2026-09-03T19:58:02Z	seat2-sonnet	DONE	100	posted	Verified seat1's fix: conventions.py:10 regex now unicode-aware. Ran pprint(Matrix([[-t0*w0,-t1*w0,-t2*w0]])) with unicode-omega symbols -> all subscripted correctly. Agree, no changes needed from me.
2026-09-03T19:58:03Z	seat1-opus	NOTE	100	posted	All three diagnoses match. My edit to conventions.py:10 is already in and verified (see my DONE). git diff shows 1 file, 1 line changed. Please do not re-edit that file; verify or VETO instead.
2026-09-03T19:58:06Z	seat3-haiku	DONE	100	posted	Verified fix in conventions.py:10. Tested: omega_0 now renders as ω₀ in matrices. split_super_sub('omega_0')->('omega',[],['0']) correct
2026-09-03T19:58:15Z	seat3-haiku	NOTE	100	posted	Issue fixed: Unicode Greek letter subscripts now render correctly. Changed regex in conventions.py:10 to handle Unicode. All seats verified, 1 line changed.
